lpermno,datadate,fyear,BE,MKTV.end.of.current.fiscal.year,MKTV.end.of.subsequent.fiscal.year,MKTV.june.of.current.fiscal.year,FF.49
13168,31/12/2014,2014,1164,9714.83386,11290.76575,14122.64886,36 Softw
13356,31/12/2012,2012,26219,33230.2986,46242.21168,20784.04128,30 Oil
13356,31/12/2013,2013,28075,46242.21168,39686.8821,36478.95712,30 Oil
13356,31/12/2014,2014,27081,39686.8821,43635.392,45510.99378,30 Oil
13407,31/12/2013,2013,15470,107658.53,173282.42,45107.44,36 Softw
13407,31/12/2014,2014,37083,173282.42,240188.4204,135454.77,36 Softw
13567,30/09/2013,2013,4873,8165.38908,6323.11321,8718.6221,34 BusSv
13567,30/09/2014,2014,3779,6323.11321,5439.62226,6088.15524,34 BusSv
13586,31/12/2013,2013,6675.9,15482.27178,12406.85748,11786.29776,21 Mach
13586,31/12/2014,2014,5192.1,12406.85748,8927.98062,13960.70112,21 Mach
13598,31/12/2013,2013,5849,32142.97494,36802.22312,33293.54757,2 Food
13688,31/12/2010,2010,16829,18756.43744,16730.49726,15303.4206,31 Util
13688,31/12/2011,2011,18109,16730.49726,17276.75712,16725.8385,31 Util
13688,31/12/2012,2012,19822,17276.75712,18097.6026,19118.4264,31 Util
13688,31/12/2013,2013,22165,18097.6026,25293.68512,20220.57129,31 Util
13688,31/12/2014,2014,24261,25293.68512,26087.24826,22317.58312,31 Util
13721,31/12/2013,2013,5062,84013.42222,104263.2616,65471.35686,13 Drugs
13721,31/12/2014,2014,2372,104263.2616,96842.41228,89743.32504,13 Drugs
13788,31/12/2013,2013,1262,16345.22883,21572.01475,3058.57335,13 Drugs
13788,31/12/2014,2014,1588,21572.01475,23860.3264,16167.88313,13 Drugs
13856,31/12/2010,2010,25203.243,103537.6625,103732.2535,98295.22305,4 Beer
13856,31/12/2011,2011,25566.882,103732.2535,105851.2192,111325.4612,4 Beer
13856,31/12/2012,2012,27342.449,105851.2192,127196.784,110509.7669,4 Beer
13856,31/12/2013,2013,30251.97,127196.784,141519.0634,126481.3646,4 Beer
13856,31/12/2014,2014,22730.655,141519.0634,145568.5519,135444.0857,4 Beer
13901,31/12/2010,2010,13690,51402.30074,60972.94195,41734.62264,5 Smoke
13901,31/12/2011,2011,11242,60972.94195,63669.33264,55286.35067,5 Smoke
13901,31/12/2012,2012,9820,63669.33264,76780.57585,70303.8602,5 Smoke
13901,31/12/2013,2013,10973,76780.57585,97380.6769,70283.08338,5 Smoke
13901,31/12/2014,2014,9102,97380.6769,114131.1246,83312.17434,5 Smoke
13928,31/12/2010,2010,85897,100054.2225,96752.34093,73061.53062,30 Oil
13928,31/12/2011,2011,83279,96752.34093,70393.77105,106281.5913,30 Oil
13928,31/12/2012,2012,61172,70393.77105,86553.24435,70663.44516,30 Oil
13928,31/12/2013,2013,67310,86553.24435,85006.85178,73970.9905,30 Oil
13928,31/12/2014,2014,66981,85006.85178,57645.43498,105251.1497,30 Oil
13936,31/01/2014,2013,5351.826,11102.22444,10567.74467,10135.8027,10 Clths
13936,31/01/2015,2014,5368.6,10567.74467,6035.3229,9602.01,10 Clths
13963,30/06/2014,2014,13467,5977.38792,5098.51,6806.31042,8 Books
13964,30/06/2014,2014,13467,3010.4204,2786.8348,3483.5435,8 Books
14008,31/12/2010,2010,23944,51166.8,51085.476,50390.8,13 Drugs
14008,31/12/2011,2011,19029,51085.476,65193.06,53915.4,13 Drugs
14008,31/12/2012,2012,19960,65193.06,86084.768,56082.372,13 Drugs
14008,31/12/2013,2013,25596,86084.768,121124.1084,74281.114,13 Drugs
14008,31/12/2014,2014,29239,121124.1084,122396.82,89890.178,13 Drugs
14011,30/09/2014,2014,7356.6,11515.10937,8653.12461,4679.32954,13 Drugs
14277,31/12/2010,2010,32862,113925.73,91680.62706,66010.05006,30 Oil
14277,31/12/2011,2011,32994,91680.62706,91998.7424,117239.616,30 Oil
14277,31/12/2012,2012,36244,91998.7424,118670.8151,86560.99014,30 Oil
14277,31/12/2013,2013,41177,118670.8151,109905.0755,95268.387,30 Oil
14277,31/12/2014,2014,39146,109905.0755,87962.004,153399.2828,30 Oil
14297,31/12/2014,2014,-4.8,5309.13034,6322.51904,5471.26372,17 BldMt
14541,31/12/2010,2010,117778,183634.055,211893.8976,136306.4461,30 Oil
14541,31/12/2011,2011,136926,211893.8976,211649.5533,206733.1844,30 Oil
14541,31/12/2012,2012,154196,211649.5533,240223.5394,208117.107,30 Oil
14541,31/12/2013,2013,170414,240223.5394,212067.7643,229402.5634,30 Oil
14541,31/12/2014,2014,176948,212067.7643,169308.0485,248521.5075,30 Oil
14542,31/12/2014,2014,106471,179186.0404,261628.4333,193197.443,36 Softw
14593,30/09/2010,2010,52091,297089.0496,377546.67,229768.1275,37 Chips
14593,30/09/2011,2011,84774,377546.67,499695.9938,311133.8749,37 Chips
